anio,tasa_descuento,edad,sexo,coeficiente,fuente
2016,5.34,39,Hombre,15.1257705934602,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,39,Mujer,16.1408766871621,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,40,Hombre,14.9531144867865,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,40,Mujer,15.9827390808780,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,41,Hombre,14.7739564632158,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,41,Mujer,15.8182779243156,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,42,Hombre,14.5882421707010,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,42,Mujer,15.6473851155807,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,43,Hombre,14.3958865428855,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,43,Mujer,15.4699209337029,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,44,Hombre,14.1968402786916,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,44,Mujer,15.2857772655557,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,45,Hombre,13.9906997286362,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,45,Mujer,15.0948611070311,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,46,Hombre,13.7784776936167,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,46,Mujer,14.8970778055406,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,47,Hombre,13.5591790410089,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,47,Mujer,14.6923771121219,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,48,Hombre,13.3331748952821,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,48,Mujer,14.4806903711709,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,49,Hombre,13.1005075912140,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,49,Mujer,14.2619906263784,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,50,Hombre,12.8612697224788,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,50,Mujer,14.0362767581360,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,51,Hombre,12.6155571739258,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,51,Mujer,13.8035726373883,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,52,Hombre,12.3635487157914,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,52,Mujer,13.5638965113060,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,53,Hombre,12.1053989240641,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,53,Mujer,13.3173480846797,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
2016,5.34,54,Hombre,11.8413163094700,PDF Ministerio del Trabajo TABLA-DE-COEFICIENTE-ANO-2016-.pdf
